concurso,dia,mes,ano,premio,num1,num2,num3,num4,num5,num6
1,11,3,1996,1714650.23,4,5,30,33,41,52
2,18,3,1996,2307162.23,9,37,39,41,43,49
3,25,3,1996,782385.02,10,11,29,30,36,47
4,1,4,1996,717080.75,1,5,6,27,42,59
5,8,4,1996,1342488.85,1,2,6,16,19,46
6,15,4,1996,2286166.33,7,13,19,22,40,47
7,22,4,1996,3335692.28,3,5,20,21,38,56
8,29,4,1996,4493748.19,4,17,37,38,47,53
9,6,5,1996,5718641.49,8,43,54,55,56,60
10,13,5,1996,13334769.81,4,18,21,25,38,57
11,20,5,1996,15591365.07,15,25,37,38,58,59
12,27,5,1996,880136.24,4,16,19,20,27,43
13,3,6,1996,1940205.35,18,32,47,50,54,56
14,10,6,1996,3006941.32,2,16,23,27,47,53
15,17,6,1996,4232661.35,12,33,35,51,52,60
16,24,6,1996,5471686.62,20,32,34,49,58,60
17,1,7,1996,6789869.08,6,10,13,19,20,51
18,8,7,1996,858843.48,23,27,36,37,42,56
19,15,7,1996,10506266.73,5,10,12,24,25,60
20,22,7,1996,11844340.83,11,25,28,30,33,51
21,29,7,1996,13182021.44,6,33,36,46,49,53
22,5,8,1996,14716828.84,1,9,31,38,46,56
23,12,8,1996,16510452.0,17,37,39,51,52,59
24,19,8,1996,18661679.61,1,8,14,28,33,43
25,25,8,1996,884973.5,24,43,50,54,55,56
26,1,9,1996,1892469.3,10,22,50,53,57,58
27,8,9,1996,2998050.68,13,17,20,33,44,51
28,15,9,1996,4183003.48,3,6,22,24,54,60
29,22,9,1996,5401793.6,3,8,14,43,56,58
30,29,9,1996,10127520.8,7,14,15,29,38,50
31,6,10,1996,11214340.46,17,19,28,45,48,56
32,13,10,1996,12531181.83,5,14,33,36,43,44
33,20,10,1996,13997410.74,5,17,33,39,42,49
34,27,10,1996,832568.2,13,15,17,40,53,57
35,3,11,1996,1770963.49,4,16,21,23,54,57
36,10,11,1996,2841425.78,3,13,17,25,29,51
37,17,11,1996,3791687.26,6,7,22,38,52,60
38,24,11,1996,4910944.53,10,42,43,45,54,55
39,1,12,1996,13456111.33,12,16,37,45,52,56
40,8,12,1996,15222867.04,3,5,8,12,46,47
41,15,12,1996,17019238.5,12,26,35,38,39,47
42,22,12,1996,888735.02,7,11,19,24,33,36
43,29,12,1996,1765157.22,2,6,17,25,26,58
44,5,1,1997,2642633.14,14,18,29,38,44,47
45,12,1,1997,3719811.46,7,30,37,44,53,55
46,19,1,1997,4809891.56,1,23,24,32,46,60
47,26,1,1997,5933418.51,3,17,25,35,48,56
48,2,2,1997,7118717.38,2,5,28,34,47,50
49,9,2,1997,8405156.76,7,13,33,35,43,55
50,16,2,1997,8917830.39,6,16,21,44,57,58
51,23,2,1997,10158749.73,17,23,24,25,42,47
52,2,3,1997,11595036.71,15,30,38,46,58,59
53,9,3,1997,13192159.46,3,13,16,38,42,46
54,16,3,1997,14939307.98,5,9,18,21,36,56
55,23,3,1997,856756.39,2,14,23,29,38,52
56,30,3,1997,1556147.46,2,7,20,35,51,59
57,6,4,1997,2570421.8,7,16,17,27,34,59
58,13,4,1997,3631304.91,12,27,30,37,44,49
59,20,4,1997,789733.42,2,8,13,28,34,54
60,27,4,1997,9478249.26,3,14,15,20,21,38
61,4,5,1997,10657792.45,8,18,29,42,44,59
62,11,5,1997,12081323.45,6,8,13,24,31,52
63,18,5,1997,13680019.57,9,25,26,40,41,49
64,25,5,1997,811186.58,8,12,23,50,54,60
65,1,6,1997,1656088.09,1,5,20,25,32,34
66,8,6,1997,2641927.81,12,13,15,26,33,48
67,15,6,1997,3699406.44,12,14,17,27,47,52
68,22,6,1997,4787014.46,1,3,12,13,53,59
69,29,6,1997,5926931.93,25,34,45,53,56,58
70,6,7,1997,14883849.29,17,23,27,40,43,58
71,13,7,1997,16602188.45,16,27,33,43,45,53
72,20,7,1997,18609174.26,1,19,34,43,44,48
73,27,7,1997,21026575.4,25,26,28,45,51,57
74,3,8,1997,876368.71,2,24,34,37,38,50
75,10,8,1997,1917550.02,21,24,35,36,37,49
76,17,8,1997,3048886.14,8,17,18,23,33,53
77,24,8,1997,4240457.6,21,29,40,49,54,57
78,31,8,1997,5465006.39,12,22,25,31,32,46
79,7,9,1997,6770601.75,2,13,17,25,31,43
80,14,9,1997,10953707.53,23,28,37,40,48,51
81,21,9,1997,12401021.68,10,23,41,47,54,60
82,28,9,1997,13877826.02,15,18,29,36,51,53
83,5,10,1997,858048.93,4,15,16,24,42,57
84,12,10,1997,1780905.8,4,6,10,25,34,40
85,19,10,1997,2713984.86,6,15,30,37,45,47
86,26,10,1997,3678955.17,6,21,22,34,36,54
87,2,11,1997,4654053.86,4,5,11,28,32,40
88,9,11,1997,5705540.99,4,18,29,37,43,45
89,16,11,1997,6752968.26,13,34,42,44,55,59
90,23,11,1997,15764300.87,9,21,26,40,52,54
91,30,11,1997,782445.93,2,4,10,35,39,60
92,7,12,1997,1663783.45,1,3,5,23,24,51
93,14,12,1997,2569217.31,2,22,28,31,36,53
94,21,12,1997,3512942.16,8,18,28,51,52,55
95,28,12,1997,4326270.55,6,40,45,46,50,60
96,4,1,1998,5218562.47,4,7,26,40,42,58
97,11,1,1998,727932.66,5,11,14,35,53,56
98,18,1,1998,695149.05,13,14,31,33,35,43
99,25,1,1998,1470041.96,11,24,30,33,46,60
100,1,2,1998,8585129.47,14,29,30,46,48,51
101,8,2,1998,9869908.65,1,18,29,31,37,39
102,15,2,1998,11336626.88,19,20,37,42,44,56
103,22,2,1998,696984.24,1,7,9,49,54,57
104,1,3,1998,621880.72,1,4,13,21,38,52
105,8,3,1998,1402269.88,3,13,31,43,46,49
106,15,3,1998,2268378.66,5,16,24,35,38,39
107,22,3,1998,3171136.01,2,4,16,24,51,52
108,29,3,1998,4116628.49,21,24,29,34,59,60
109,4,4,1998,11523677.38,1,13,44,48,49,54
110,11,4,1998,12690079.16,18,31,43,52,57,58
111,18,4,1998,14165647.19,4,22,25,32,33,52
112,25,4,1998,15802579.93,12,20,34,37,42,43
113,2,5,1998,650691.4,7,26,28,34,54,55
114,9,5,1998,1470833.69,6,12,18,37,47,54
115,16,5,1998,2339731.79,4,6,14,20,24,38
116,23,5,1998,3257973.62,5,13,32,36,42,51
117,30,5,1998,4210398.41,20,25,27,33,42,53
118,6,6,1998,5231361.36,9,22,25,37,56,57
119,13,6,1998,13206225.91,1,21,36,38,47,50
120,20,6,1998,14643740.7,3,16,27,40,45,46
121,27,6,1998,16205258.33,2,29,41,44,53,55
122,4,7,1998,18019018.95,11,17,20,39,43,53
123,11,7,1998,20646465.28,13,14,16,26,32,42
124,18,7,1998,24536288.72,5,15,34,41,52,57
